nc,eta,epochs,time,var
2,0.001,89,28.166,47.978
2,0.01,9,3.126,48.089
2,0.01,10,3.009,48.090
2,0.01,150,48.682,48.090
2,0.01,12,3.683,48.090
3,0.01,42,16.681,66.895
3,0.01,9,19.020,66.907
2,0.01,3,4.783,48.401
4,0.01,13,37.743,81.629
1,0.001,150,192.283,2.404
2,0.001,150,285.657,48.253
3,0.001,150,348.815,66.752
4,0.001,150,459.394,81.467
5,0.001,150,536.543,86.251
6,0.001,150,790.929,86.973
7,0.001,150,717.677,89.782
8,0.001,150,844.158,90.454
9,0.001,150,946.676,91.227
10,0.001,150,1039.292,92.786
1,0.005,150,204.621,2.501
2,0.005,5,8.874,48.359
3,0.005,20,48.821,66.865
4,0.005,22,68.032,81.580
5,0.005,59,225.895,86.377
6,0.005,150,627.908,90.247
7,0.005,150,786.132,93.666
2,0.01,3,5.446,48.401
1,0.01,5,5.598,2.554
1,0.001,5,5.704,2.404
1,0.001,1,1.176,2.404
1,0.001,2,2.143,2.404
1,0.001,2,2.081,3839689982772034593744313144107503361187342533748847965474759970390016.000
1,0.001,2,2.257,2.404
1,0.001,3,3.157,2.404
1,0.001,3,3.237,2.404
1,0.001,3,7.059,2.404
1,0.01,3,5.088,48.401
1,0.01,3,4.991,45.847
